Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 10.54.42.556 AM,Total Frames in Take,868,Total Exported Frames,868,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004
,ID,"C3B20","C3B20","C3B20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
198,0.792000,-0.003205,0.006889,1.441346
199,0.796000,-0.003231,0.006856,1.441344
200,0.800000,-0.003237,0.006877,1.441354
201,0.804000,-0.003203,0.006899,1.441364
202,0.808000,-0.003214,0.006878,1.441363
203,0.812000,-0.003201,0.006893,1.441367
204,0.816000,-0.003244,0.006868,1.441357
205,0.820000,-0.003228,0.006867,1.441338
206,0.824000,-0.003193,0.006914,1.441348
207,0.828000,-0.003208,0.006885,1.441344
208,0.832000,-0.003224,0.006871,1.441317
209,0.836000,-0.003215,0.006871,1.441353
210,0.840000,-0.003200,0.006907,1.441353
211,0.844000,-0.003226,0.006862,1.441350
212,0.848000,-0.003242,0.006861,1.441345
213,0.852000,-0.003222,0.006882,1.441343
214,0.856000,-0.003223,0.006882,1.441355
215,0.860000,-0.003235,0.006863,1.441360
216,0.864000,-0.003197,0.006903,1.441351
217,0.868000,-0.003211,0.006871,1.441343
218,0.872000,-0.003252,0.006847,1.441346
219,0.876000,-0.003220,0.006883,1.441341
220,0.880000,-0.003213,0.006884,1.441350
221,0.884000,-0.003205,0.006912,1.441360
222,0.888000,-0.003221,0.006891,1.441360
223,0.892000,-0.003177,0.006929,1.441345
224,0.896000,-0.003239,0.006869,1.441341
225,0.900000,-0.003199,0.006883,1.441356
226,0.904000,-0.003229,0.006873,1.441336
227,0.908000,-0.003244,0.006857,1.441334
228,0.912000,-0.003208,0.006902,1.441341
229,0.916000,-0.003229,0.006850,1.441351
230,0.920000,-0.003223,0.006887,1.441329
231,0.924000,-0.003215,0.006879,1.441346
232,0.928000,-0.003198,0.006881,1.441359
233,0.932000,-0.003247,0.006873,1.441334
234,0.936000,-0.003176,0.006932,1.441355
235,0.940000,-0.003203,0.006905,1.441352
236,0.944000,-0.003237,0.006880,1.441322
237,0.948000,-0.003221,0.006885,1.441335
238,0.952000,-0.003242,0.006858,1.441346
239,0.956000,-0.003238,0.006867,1.441332
240,0.960000,-0.003250,0.006867,1.441345
241,0.964000,-0.003254,0.006856,1.441339
242,0.968000,-0.003219,0.006887,1.441350
243,0.972000,-0.003198,0.006894,1.441344
244,0.976000,-0.003251,0.006868,1.441338
245,0.980000,-0.003223,0.006887,1.441342
246,0.984000,-0.003201,0.006900,1.441341
247,0.988000,-0.003216,0.006888,1.441351
248,0.992000,-0.003195,0.006903,1.441350
249,0.996000,-0.003266,0.006858,1.441323
250,1.000000,-0.003228,0.006878,1.441342
251,1.004000,-0.003216,0.006884,1.441330
252,1.008000,-0.003220,0.006881,1.441347
253,1.012000,-0.003223,0.006887,1.441339
254,1.016000,-0.003208,0.006905,1.441355
255,1.020000,-0.003268,0.006841,1.441341
256,1.024000,-0.003275,0.006825,1.441350
