Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM_003,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 11.08.57.849 AM,Total Frames in Take,962,Total Exported Frames,962,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009
,ID,"C3B50","C3B50","C3B50"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
393,1.572000,0.000067,0.000168,1.329275
394,1.576000,0.000064,0.000154,1.329290
395,1.580000,0.000079,0.000173,1.329281
396,1.584000,0.000073,0.000141,1.329280
397,1.588000,0.000078,0.000173,1.329286
398,1.592000,0.000083,0.000165,1.329286
399,1.596000,0.000070,0.000163,1.329283
400,1.600000,0.000065,0.000157,1.329289
401,1.604000,0.000092,0.000177,1.329297
402,1.608000,0.000092,0.000197,1.329304
403,1.612000,0.000052,0.000165,1.329299
404,1.616000,0.000073,0.000164,1.329294
405,1.620000,0.000088,0.000191,1.329280
406,1.624000,0.000054,0.000142,1.329266
407,1.628000,0.000055,0.000161,1.329295
408,1.632000,0.000102,0.000186,1.329288
409,1.636000,0.000071,0.000166,1.329281
410,1.640000,0.000064,0.000171,1.329301
411,1.644000,0.000075,0.000173,1.329282
412,1.648000,0.000081,0.000195,1.329282
413,1.652000,0.000090,0.000181,1.329295
414,1.656000,0.000077,0.000171,1.329288
415,1.660000,0.000052,0.000142,1.329298
416,1.664000,0.000069,0.000147,1.329291
417,1.668000,0.000078,0.000164,1.329290
418,1.672000,0.000054,0.000164,1.329289
419,1.676000,0.000076,0.000172,1.329280
420,1.680000,0.000070,0.000174,1.329312
421,1.684000,0.000083,0.000191,1.329288
422,1.688000,0.000085,0.000177,1.329289
423,1.692000,0.000078,0.000163,1.329296
424,1.696000,0.000069,0.000172,1.329286
425,1.700000,0.000089,0.000170,1.329300
426,1.704000,0.000069,0.000161,1.329276
427,1.708000,0.000071,0.000155,1.329290
428,1.712000,0.000077,0.000156,1.329289
429,1.716000,0.000091,0.000172,1.329289
430,1.720000,0.000039,0.000150,1.329301
431,1.724000,0.000085,0.000175,1.329287
432,1.728000,0.000095,0.000187,1.329286
433,1.732000,0.000074,0.000171,1.329286
434,1.736000,0.000065,0.000175,1.329286
435,1.740000,0.000061,0.000155,1.329278
436,1.744000,0.000059,0.000136,1.329277
437,1.748000,0.000065,0.000148,1.329269
438,1.752000,0.000088,0.000192,1.329279
439,1.756000,0.000061,0.000159,1.329281
440,1.760000,0.000074,0.000155,1.329292
441,1.764000,0.000082,0.000180,1.329292
442,1.768000,0.000097,0.000199,1.329297
443,1.772000,0.000075,0.000180,1.329292
444,1.776000,0.000095,0.000214,1.329287
445,1.780000,0.000060,0.000152,1.329284
446,1.784000,0.000062,0.000173,1.329280
447,1.788000,0.000076,0.000161,1.329290
448,1.792000,0.000074,0.000156,1.329268
449,1.796000,0.000083,0.000170,1.329275
450,1.800000,0.000074,0.000155,1.329281
451,1.804000,0.000084,0.000165,1.329274
452,1.808000,0.000089,0.000180,1.329283
453,1.812000,0.000077,0.000159,1.329275
454,1.816000,0.000102,0.000193,1.329289
455,1.820000,0.000046,0.000154,1.329296
456,1.824000,0.000054,0.000180,1.329274
457,1.828000,0.000067,0.000161,1.329278
458,1.832000,0.000086,0.000173,1.329272
459,1.836000,0.000076,0.000182,1.329279
460,1.840000,0.000083,0.000187,1.329277
461,1.844000,0.000079,0.000192,1.329275
462,1.848000,0.000078,0.000180,1.329274
463,1.852000,0.000066,0.000186,1.329272
464,1.856000,0.000061,0.000156,1.329282
465,1.860000,0.000050,0.000155,1.329283
466,1.864000,0.000077,0.000160,1.329273
467,1.868000,0.000073,0.000167,1.329273
468,1.872000,0.000069,0.000137,1.329273
469,1.876000,0.000062,0.000130,1.329285
470,1.880000,0.000057,0.000153,1.329275
471,1.884000,0.000089,0.000181,1.329286
472,1.888000,0.000068,0.000160,1.329288
473,1.892000,0.000094,0.000194,1.329280
474,1.896000,0.000114,0.000199,1.329289
475,1.900000,0.000086,0.000186,1.329283
476,1.904000,0.000114,0.000210,1.329278
477,1.908000,0.000129,0.000211,1.329291
478,1.912000,0.000094,0.000193,1.329274
479,1.916000,0.000088,0.000166,1.329293
480,1.920000,0.000072,0.000162,1.329277
481,1.924000,0.000096,0.000195,1.329274
482,1.928000,0.000081,0.000153,1.329266
483,1.932000,0.000104,0.000179,1.329270
484,1.936000,0.000109,0.000208,1.329281
485,1.940000,0.000099,0.000178,1.329276
486,1.944000,0.000074,0.000165,1.329268
487,1.948000,0.000106,0.000168,1.329273
488,1.952000,0.000093,0.000150,1.329285
489,1.956000,0.000077,0.000157,1.329280
490,1.960000,0.000083,0.000163,1.329291
491,1.964000,0.000073,0.000139,1.329280
492,1.968000,0.000074,0.000168,1.329277
493,1.972000,0.000113,0.000196,1.329283
494,1.976000,0.000095,0.000188,1.329283
495,1.980000,0.000110,0.000196,1.329285
496,1.984000,0.000085,0.000162,1.329289
497,1.988000,0.000113,0.000176,1.329283
498,1.992000,0.000109,0.000167,1.329278
499,1.996000,0.000102,0.000173,1.329285
500,2.000000,0.000110,0.000179,1.329276
501,2.004000,0.000092,0.000159,1.329284
502,2.008000,0.000116,0.000182,1.329277
503,2.012000,0.000073,0.000133,1.329274
504,2.016000,0.000091,0.000161,1.329284
505,2.020000,0.000101,0.000163,1.329279
506,2.024000,0.000113,0.000156,1.329273
507,2.028000,0.000113,0.000188,1.329290
508,2.032000,0.000134,0.000194,1.329290
509,2.036000,0.000113,0.000183,1.329302
510,2.040000,0.000087,0.000170,1.329271
511,2.044000,0.000149,0.000213,1.329283
512,2.048000,0.000129,0.000178,1.329291
513,2.052000,0.000100,0.000174,1.329300
514,2.056000,0.000128,0.000186,1.329283
515,2.060000,0.000126,0.000169,1.329293
516,2.064000,0.000092,0.000151,1.329289
517,2.068000,0.000116,0.000176,1.329294
518,2.072000,0.000108,0.000156,1.329282
519,2.076000,0.000127,0.000177,1.329291
520,2.080000,0.000137,0.000204,1.329292
521,2.084000,0.000120,0.000185,1.329290
522,2.088000,0.000133,0.000183,1.329287
523,2.092000,0.000147,0.000208,1.329285
524,2.096000,0.000133,0.000209,1.329298
