Format Version,1.23,Take Name,Take 2020-10-13 01.30.33 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-10-13 01.30.34.331 PM,Total Frames in Take,5923,Total Exported Frames,5923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000
,ID,"C3530","C3530","C3530"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
838,2.327778,,,
839,2.330556,,,
840,2.333333,,,
841,2.336111,,,
842,2.338889,,,
843,2.341667,,,
844,2.344444,,,
845,2.347222,,,
846,2.350000,,,
847,2.352778,,,
848,2.355556,,,
849,2.358333,,,
850,2.361111,,,
851,2.363889,,,
852,2.366667,,,
853,2.369444,,,
854,2.372222,,,
855,2.375000,,,
856,2.377778,,,
857,2.380556,,,
858,2.383333,,,
859,2.386111,,,
860,2.388889,,,
861,2.391667,,,
862,2.394444,,,
863,2.397222,,,
864,2.400000,,,
865,2.402778,,,
866,2.405556,,,
867,2.408333,,,
868,2.411111,,,
869,2.413889,,,
870,2.416667,,,
871,2.419444,,,
872,2.422222,,,
873,2.425000,,,
874,2.427778,,,
875,2.430556,,,
876,2.433333,,,
877,2.436111,,,
878,2.438889,,,
879,2.441667,,,
880,2.444444,,,
881,2.447222,,,
882,2.450000,,,
883,2.452778,,,
884,2.455556,,,
885,2.458333,,,
886,2.461111,,,
887,2.463889,,,
888,2.466667,,,
889,2.469444,,,
890,2.472222,,,
891,2.475000,,,
892,2.477778,,,
893,2.480556,,,
894,2.483333,,,
895,2.486111,,,
896,2.488889,,,
897,2.491667,,,
898,2.494444,,,
899,2.497222,,,
900,2.500000,,,
901,2.502778,,,
902,2.505556,,,
903,2.508333,,,
904,2.511111,,,
905,2.513889,,,
906,2.516667,,,
907,2.519444,,,
908,2.522222,,,
909,2.525000,,,
910,2.527778,,,
911,2.530556,,,
912,2.533333,,,
913,2.536111,,,
914,2.538889,,,
915,2.541667,,,
916,2.544444,,,
917,2.547222,,,
918,2.550000,,,
919,2.552778,,,
920,2.555556,,,
921,2.558333,,,
922,2.561111,,,
923,2.563889,,,
924,2.566667,,,
925,2.569444,,,
926,2.572222,,,
927,2.575000,,,
928,2.577778,,,
929,2.580556,,,
930,2.583333,,,
931,2.586111,,,
932,2.588889,,,
933,2.591667,,,
934,2.594444,,,
935,2.597222,,,
936,2.600000,,,
937,2.602778,,,
938,2.605556,,,
939,2.608333,,,
940,2.611111,,,
941,2.613889,,,
942,2.616667,,,
943,2.619444,,,
944,2.622222,,,
945,2.625000,,,
946,2.627778,,,
947,2.630556,,,
948,2.633333,,,
949,2.636111,,,
950,2.638889,,,
951,2.641667,,,
952,2.644444,,,
953,2.647222,,,
954,2.650000,,,
955,2.652778,,,
956,2.655556,,,
957,2.658333,,,
958,2.661111,,,
959,2.663889,,,
960,2.666667,,,
961,2.669444,,,
962,2.672222,,,
963,2.675000,,,
964,2.677778,,,
965,2.680556,,,
966,2.683333,,,
967,2.686111,,,
968,2.688889,,,
969,2.691667,,,
970,2.694444,,,
971,2.697222,,,
972,2.700000,,,
973,2.702778,,,
974,2.705556,,,
975,2.708333,,,
976,2.711111,,,
977,2.713889,,,
978,2.716667,,,
979,2.719444,,,
980,2.722222,,,
981,2.725000,,,
982,2.727778,,,
983,2.730556,,,
984,2.733333,,,
985,2.736111,,,
986,2.738889,,,
987,2.741667,,,
988,2.744444,,,
989,2.747222,,,
990,2.750000,,,
991,2.752778,,,
992,2.755556,,,
993,2.758333,,,
994,2.761111,,,
995,2.763889,,,
996,2.766667,,,
997,2.769444,,,
998,2.772222,,,
999,2.775000,,,
1000,2.777778,,,
1001,2.780556,,,
1002,2.783333,,,
1003,2.786111,,,
1004,2.788889,,,
1005,2.791667,,,
1006,2.794444,,,
1007,2.797222,,,
1008,2.800000,,,
1009,2.802778,,,
1010,2.805556,,,
1011,2.808333,,,
1012,2.811111,,,
1013,2.813889,,,
1014,2.816667,,,
1015,2.819444,,,
1016,2.822222,,,
1017,2.825000,,,
1018,2.827778,,,
1019,2.830556,,,
1020,2.833333,,,
1021,2.836111,,,
1022,2.838889,,,
1023,2.841667,,,
1024,2.844444,,,
1025,2.847222,,,
1026,2.850000,,,
1027,2.852778,,,
1028,2.855556,,,
1029,2.858333,,,
1030,2.861111,,,
1031,2.863889,,,
1032,2.866667,,,
1033,2.869444,,,
1034,2.872222,,,
1035,2.875000,,,
1036,2.877778,,,
1037,2.880556,,,
1038,2.883333,,,
1039,2.886111,,,
1040,2.888889,,,
1041,2.891667,,,
1042,2.894444,,,
1043,2.897222,,,
1044,2.900000,,,
1045,2.902778,,,
1046,2.905556,,,
1047,2.908333,,,
1048,2.911111,,,
1049,2.913889,,,
1050,2.916667,,,
1051,2.919444,,,
1052,2.922222,,,
1053,2.925000,,,
1054,2.927778,,,
1055,2.930556,,,
1056,2.933333,,,
1057,2.936111,,,
1058,2.938889,,,
1059,2.941667,,,
1060,2.944444,,,
1061,2.947222,,,
1062,2.950000,,,
1063,2.952778,,,
1064,2.955556,,,
1065,2.958333,,,
1066,2.961111,,,
1067,2.963889,,,
1068,2.966667,,,
1069,2.969444,,,
1070,2.972222,,,
1071,2.975000,,,
1072,2.977778,,,
1073,2.980556,,,
1074,2.983333,,,
1075,2.986111,,,
1076,2.988889,,,
1077,2.991667,,,
1078,2.994444,,,
1079,2.997222,,,
1080,3.000000,,,
1081,3.002778,,,
1082,3.005556,,,
1083,3.008333,,,
1084,3.011111,,,
1085,3.013889,,,
1086,3.016667,,,
1087,3.019444,,,
1088,3.022222,,,
1089,3.025000,,,
1090,3.027778,,,
1091,3.030556,,,
1092,3.033333,,,
